,_id,question,school,selection
145,66fe4cee2c95bc8004bc17dd,0,🇪🇸Spain,assist peacekeeping missions
146,66fe4cee2c95bc8004bc17de,0,🇪🇸Spain,collect data for maps
147,66fe4cef2c95bc8004bc17df,0,🇮🇹Italy,assist peacekeeping missions
148,66fe4cef2c95bc8004bc17e0,0,🇮🇹Italy,collect data for maps
149,66fe4cf32c95bc8004bc17e1,0,🇸🇰Slovakia,assist peacekeeping missions
150,66fe4cf32c95bc8004bc17e2,0,🇪🇸Spain,collect data for maps
151,66fe4cf32c95bc8004bc17e3,0,🇸🇰Slovakia,collect data for maps
152,66fe4cf42c95bc8004bc17e4,0,🇪🇸Spain,collect data for maps
153,66fe4cf82c95bc8004bc17e5,0,🇮🇹Italy,assist peacekeeping missions
154,66fe4cf82c95bc8004bc17e6,0,🇮🇹Italy,collect data for maps
155,66fe4cf92c95bc8004bc17e7,0,🇪🇸Spain,collect data for maps
156,66fe4cfb2c95bc8004bc17e8,0,🇮🇹Italy,assist peacekeeping missions
157,66fe4cfc2c95bc8004bc17e9,0,🇮🇹Italy,assist peacekeeping missions
158,66fe4cfc2c95bc8004bc17ea,0,🇮🇹Italy,collect data for maps
159,66fe4cfc2c95bc8004bc17eb,0,🇮🇹Italy,collect data for maps
160,66fe4cfd2c95bc8004bc17ec,0,🇪🇸Spain,assist peacekeeping missions
161,66fe4cfd2c95bc8004bc17ed,0,🇪🇸Spain,collect data for maps
162,66fe4cfe2c95bc8004bc17ee,0,🇷🇴Romania,I don't know
163,66fe4cfe2c95bc8004bc17ef,0,🇷🇴Romania,assist peacekeeping missions
164,66fe4cfe2c95bc8004bc17f0,0,🇷🇴Romania,build new houses
165,66fe4cfe2c95bc8004bc17f1,0,🇷🇴Romania,collect data for maps
166,66fe4d012c95bc8004bc17f2,0,🇮🇹Italy,assist peacekeeping missions
167,66fe4d012c95bc8004bc17f3,0,🇮🇹Italy,collect data for maps
168,66fe4d052c95bc8004bc17f4,0,🇪🇸Spain,collect data for maps
169,66fe4d052c95bc8004bc17f5,0,🇸🇰Slovakia,assist peacekeeping missions
170,66fe4d052c95bc8004bc17f6,0,🇸🇰Slovakia,collect data for maps
171,66fe4d072c95bc8004bc17f7,0,🇮🇹Italy,assist peacekeeping missions
172,66fe4d072c95bc8004bc17f8,0,🇮🇹Italy,collect data for maps
173,66fe4d072c95bc8004bc17f9,0,🇮🇹Italy,assist peacekeeping missions
174,66fe4d072c95bc8004bc17fa,0,🇮🇹Italy,collect data for maps
175,66fe4d072c95bc8004bc17fb,0,🇮🇹Italy,assist peacekeeping missions
176,66fe4d072c95bc8004bc17fc,0,🇮🇹Italy,collect data for maps
177,66fe4d0d2c95bc8004bc17fd,0,🇮🇹Italy,assist peacekeeping missions
178,66fe4d0d2c95bc8004bc17fe,0,🇮🇹Italy,collect data for maps
179,66fe4d0f2c95bc8004bc17ff,0,🇮🇹Italy,assist peacekeeping missions
180,66fe4d0f2c95bc8004bc1800,0,🇮🇹Italy,collect data for maps
181,66fe4d102c95bc8004bc1801,0,🇮🇹Italy,assist peacekeeping missions
182,66fe4d102c95bc8004bc1802,0,🇮🇹Italy,collect data for maps
183,66fe4d112c95bc8004bc1803,0,🇪🇸Spain,assist peacekeeping missions
184,66fe4d112c95bc8004bc1804,0,🇪🇸Spain,collect data for maps
185,66fe4d192c95bc8004bc1805,0,🇮🇹Italy,assist peacekeeping missions
186,66fe4d192c95bc8004bc1806,0,🇮🇹Italy,collect data for maps
187,66fe4d1d2c95bc8004bc1807,0,🇸🇰Slovakia,assist peacekeeping missions
188,66fe4d1d2c95bc8004bc1808,0,🇸🇰Slovakia,collect data for maps
189,66fe4d6b2c95bc8004bc1809,0,🇪🇸Spain,assist peacekeeping missions
190,66fe4d6b2c95bc8004bc180a,0,🇪🇸Spain,collect data for maps
191,66fe4df02c95bc8004bc180b,0,🇮🇹Italy,assist peacekeeping missions
192,66fe4df02c95bc8004bc180c,0,🇮🇹Italy,collect data for maps
193,66fe4dff2c95bc8004bc180d,0,🇮🇹Italy,I don't know
194,66fe4dff2c95bc8004bc180e,0,🇮🇹Italy,assist peacekeeping missions
195,66fe4e002c95bc8004bc180f,0,🇮🇹Italy,build new houses
196,66fe4e002c95bc8004bc1810,0,🇮🇹Italy,collect data for maps
